"","genus_species","family","order","id","BodyMass.Value","BodyMass.SpecLevel","phylogeny","median_lat","redlistCategory","use1","use2","use3","use4","use5","use6","use7","use8","use9","use10","use11","use12","use13","use14","use15","use16","domestication","status","x","y","clade"
"108","Akodon juninensis","Cricetidae","Rodentia",292084,39,1,"Yes",-11.559115,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-75.7983153988249,-10.6128805755357,"Euarchontoglires"
"109","Akodon kofordi","Cricetidae","Rodentia",292090,29.5,1,"Yes",-14.133333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-65.9999999999999,-17.0026683611809,"Euarchontoglires"
"110","Akodon kotosh","Cricetidae","Rodentia",7067232,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"111","Akodon latebricola","Cricetidae","Rodentia",694987,39,1,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"112","Akodon leucolimnaeus","Cricetidae","Rodentia",170300,31.32,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"113","Akodon lindberghi","Cricetidae","Rodentia",837916,26.4,1,"Yes",-15.783334,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-47,-15,"Euarchontoglires"
"114","Akodon lutescens","Cricetidae","Rodentia",806769,20.69,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"115","Akodon mimus","Cricetidae","Rodentia",1068786,24,1,"Yes",-17.133333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-66.5952083833377,-16.6074080349395,"Euarchontoglires"
"116","Akodon molinae","Cricetidae","Rodentia",224514,33,1,"Yes",-34.05,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-62.9890021541808,-37.4509861147655,"Euarchontoglires"
"117","Akodon mollis","Cricetidae","Rodentia",292088,30.4,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"118","Akodon montensis","Cricetidae","Rodentia",837919,31.32,0,"Yes",-26.2894,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-55.7501937564695,-26.2916640358849,"Euarchontoglires"
"119","Akodon mystax","Cricetidae","Rodentia",837918,18.5,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"120","Akodon neocenus","Cricetidae","Rodentia",3608361,42.4,1,"Yes",-38.0307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-66.9999999999993,-41.0075873575485,"Euarchontoglires"
"121","Akodon orophilus","Cricetidae","Rodentia",754316,39,1,"Yes",-6.7166665,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-76.8050900103908,-8.31115143858142,"Euarchontoglires"
"122","Akodon paranaensis","Cricetidae","Rodentia",896699,31.32,0,"Yes",-26.2812,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-55,-27,"Euarchontoglires"
"123","Akodon pervalens","Cricetidae","Rodentia",3608354,31.32,0,"Yes",-22.243108,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-64.0000000000002,-23.0037047626268,"Euarchontoglires"
"124","Akodon philipmyersi","Cricetidae","Rodentia",373077,NA,NA,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"125","Akodon polopi","Cricetidae","Rodentia",68879,NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"126","Akodon reigi","Cricetidae","Rodentia",896702,31.32,0,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"127","Akodon sanctipaulensis","Cricetidae","Rodentia",3608368,27.1,1,"Yes",-24.366667,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-46.9999999999998,-24.0155502468949,"Euarchontoglires"
"128","Akodon serrensis","Cricetidae","Rodentia",837921,28.3,1,"Yes",-22.8479945,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-43.0000000000001,-23.0037047626268,"Euarchontoglires"
"129","Akodon siberiae","Cricetidae","Rodentia",360765,34.6,1,"Yes",-17.516667,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-64.9999999999999,-17.0026683611809,"Euarchontoglires"
"130","Akodon simulator","Cricetidae","Rodentia",468305,42.5,1,"Yes",-26.463056,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-64.8133685531181,-25.5202615777907,"Euarchontoglires"
"131","Akodon subfuscus","Cricetidae","Rodentia",292092,30.4,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"132","Akodon surdus","Cricetidae","Rodentia",3608367,39,1,"Yes",-12.62708,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-73,-13,"Euarchontoglires"
"133","Akodon sylvanus","Cricetidae","Rodentia",536358,39,1,"Yes",-24.283306,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-65.0000000000003,-24.0155502468951,"Euarchontoglires"
"134","Akodon tartareus","Cricetidae","Rodentia",468309,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"135","Akodon toba","Cricetidae","Rodentia",360763,51.2,1,"Yes",-22.35,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-62.2394045378914,-22.8559956493432,"Euarchontoglires"
"136","Akodon torques","Cricetidae","Rodentia",292096,39,1,"Yes",-13.16219,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-71.4972219223353,-12.506118905678,"Euarchontoglires"
"137","Akodon urichi","Cricetidae","Rodentia",360768,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",NA,NA,"Euarchontoglires"
"138","Akodon varius","Cricetidae","Rodentia",224515,40,1,"Yes",-23.2,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-64.0728375333477,-22.2207283772505,"Euarchontoglires"
"139","Akodon viridescens","Cricetidae","Rodentia",398446,NA,NA,"Yes",-32.937034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","sibling_higher",-65,-33,"Euarchontoglires"
"140","Alcelaphus bakeri","Bovidae","Artiodactyla",7655481,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Laurasiatheria"
"141","Alcelaphus buselaphus","Bovidae","Artiodactyla",989807,171001.53,1,NA,NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Laurasiatheria"
"142","Alcelaphus caama","Bovidae","Artiodactyla",989782,176115.97,1,"Yes",-19.1899575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",19.4141745679421,-24.6312574657537,"Laurasiatheria"
"143","Alcelaphus howardi","Bovidae","Artiodactyla",7655482,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Laurasiatheria"
"144","Alcelaphus kattwinkeli","Bovidae","Artiodactyla",6146180,NA,NA,"Yes",-2.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",35,-3,"Laurasiatheria"
"145","Alcelaphus lichtensteini","Bovidae","Artiodactyla",363033,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Laurasiatheria"
"146","Alcelaphus tora","Bovidae","Artiodactyla",7655483,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Laurasiatheria"
"147","Alces alces","Cervidae","Artiodactyla",460509,356998.16,1,NA,NA,"Least Concern","food_human","sport_hunting_specimen_collecting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Partially-domesticated","",NA,NA,"Laurasiatheria"
"148","Alces americanus","Cervidae","Artiodactyla",196762,541460.44,1,"Yes",59.450001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-144.3480482715,65.110486267245,"Laurasiatheria"
"149","Alces bedfordiae","Cervidae","Artiodactyla",7655667,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Laurasiatheria"
"150","Alexandromys mongolicus","Cricetidae","Rodentia",839865,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"151","Alexandromys mujanensis","Cricetidae","Rodentia",7067199,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"152","Alionycteris paucidentata","Pteropodidae","Chiroptera",491371,16.15,1,"Yes",8.1583,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",125,9,"Laurasiatheria"
"153","Allactaga balikunica","Dipodidae","Rodentia",3608063,93.08,2,"Yes",43.25015,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",100.000000000001,43.0081393014272,"Euarchontoglires"
"154","Allactaga bullata","Dipodidae","Rodentia",910642,89.35,2,"Yes",43.62437,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",102.636518928886,43.6976614389122,"Euarchontoglires"
"155","Allactaga elater","Dipodidae","Rodentia",475305,59,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"156","Allactaga euphratica","Dipodidae","Rodentia",739520,232,1,"Yes",36.683333,"Least Concern","food_animal","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",46.1980699628516,37.1254778341391,"Euarchontoglires"
"157","Allactaga firouzi","Dipodidae","Rodentia",739517,92.39,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"158","Allactaga hotsoni","Dipodidae","Rodentia",1043408,76.5,1,"Yes",31.4235,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",65.6621713765454,29.6851343618564,"Euarchontoglires"
"159","Allactaga major","Dipodidae","Rodentia",852287,350,1,"Yes",46.98333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",46.9999999999996,43.0081393014265,"Euarchontoglires"
"160","Allactaga severtzovi","Dipodidae","Rodentia",3608064,159,1,"Yes",43.84198,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",60.9999999999994,43.0081393014265,"Euarchontoglires"
"161","Allactaga sibirica","Dipodidae","Rodentia",814883,97.5,1,"Yes",45.53862,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",98.3044493388713,46.6811076391587,"Euarchontoglires"
"162","Allactaga tetradactyla","Dipodidae","Rodentia",3608061,52,1,NA,NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"163","Allactaga toussi","Dipodidae","Rodentia",164964,NA,NA,"Yes",NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"164","Allactaga vinogradovi","Dipodidae","Rodentia",3608062,90.51,2,"Yes",NA,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"165","Allactaga williamsi","Dipodidae","Rodentia",164961,116.74,0,"Yes",38.95,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",35,39,"Euarchontoglires"
"166","Allactodipus bobrinskii","Dipodidae","Rodentia",85039,65.3,1,"Yes",42.5,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",64.0000000000001,43.0081393014269,"Euarchontoglires"
"167","Allenopithecus nigroviridis","Cercopithecidae","Primates",721471,4749.96,1,"Yes",-1.752792,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",17,-2.00121958443328,"Euarchontoglires"
"168","Allocebus trichotis","Cheirogaleidae","Primates",516007,77.5,1,"Yes",-18.835793,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",49,-19,"Euarchontoglires"
"169","Allochrocebus lhoesti","Cercopithecidae","Primates",954691,NA,NA,"Yes",-0.3667,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",29.7998048347546,-0.600940784397507,"Euarchontoglires"
"170","Allochrocebus preussi","Cercopithecidae","Primates",283455,NA,NA,NA,NA,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"171","Allochrocebus solatus","Cercopithecidae","Primates",807150,NA,NA,"Yes",-0.5,"Near Threatened","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",13,-1,"Euarchontoglires"
"172","Allocricetulus curtatus","Cricetidae","Rodentia",270176,47.83,1,"Yes",45.7035,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",111.999999999999,43.0081393014265,"Euarchontoglires"
"173","Allocricetulus eversmanni","Cricetidae","Rodentia",753012,115.56,1,"Yes",48.048,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",97.9999999999985,45.0087284188927,"Euarchontoglires"
"174","Allocricetulus jezreelicus","Cricetidae","Rodentia",7654603,NA,NA,"Yes",32.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",35,33,"Euarchontoglires"
"175","Alopex praeglacialis","Canidae","Carnivora",7655973,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Laurasiatheria"
"176","Alouatta arctoidea","Atelidae","Primates",3607552,NA,NA,"Yes",8.4531695,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-67.6662655309194,9.34277716285636,"Euarchontoglires"
"177","Alouatta belzebul","Atelidae","Primates",1058654,6400,1,NA,NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"178","Alouatta caraya","Atelidae","Primates",791697,5862.46,1,"Yes",-26.96315,"Near Threatened","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-56.8968613118989,-24.7578639680847,"Euarchontoglires"
"179","Alouatta coibensis","Atelidae","Primates",3607546,6320.06,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","hidden",NA,NA,"Euarchontoglires"
"180","Alouatta discolor","Atelidae","Primates",3607550,NA,NA,"Yes",-9.417492,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-54.9999999999998,-9.00138234307659,"Euarchontoglires"
"181","Alouatta guariba","Atelidae","Primates",558069,5188.33,1,NA,NA,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"182","Alouatta juara","Atelidae","Primates",3607545,NA,NA,"Yes",NA,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"183","Alouatta macconnelli","Atelidae","Primates",512634,6320.06,0,NA,NA,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","infraspecific",NA,NA,"Euarchontoglires"
"184","Alouatta palliata","Atelidae","Primates",1012045,7274.95,1,NA,NA,"Vulnerable","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"185","Alouatta pigra","Atelidae","Primates",558066,7000.03,1,"Yes",17.558422,"Endangered","food_human","pets_display_animals_horticulture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-90.5605215466047,18.0405950813144,"Euarchontoglires"
"186","Alouatta sara","Atelidae","Primates",814670,6611.04,1,"Yes",-12.802183,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-68.6565361505019,-13.6824668106375,"Euarchontoglires"
"187","Alouatta seniculus","Atelidae","Primates",791699,6145.54,1,NA,NA,"Least Concern","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"188","Alouatta stramineus","Atelidae","Primates",659847,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"189","Alouatta ululata","Atelidae","Primates",3607551,NA,NA,"Yes",-2.5667,"Endangered","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-42,-3.00045740230188,"Euarchontoglires"
"190","Alouatta villosa","Atelidae","Primates",7655100,NA,NA,"Yes",16.2406245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-82.9999999999997,9.00138234307658,"Euarchontoglires"
"191","Alticola albicaudus","Cricetidae","Rodentia",3608470,34.53,2,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"192","Alticola argentatus","Cricetidae","Rodentia",118432,37.7,1,"Yes",37.0381,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",71.0000000000004,40.0293112728956,"Euarchontoglires"
"193","Alticola barakshin","Cricetidae","Rodentia",118430,33.6,2,"Yes",43.617917,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",92.9456352696253,47.3357223145639,"Euarchontoglires"
"194","Alticola lemminus","Cricetidae","Rodentia",3608465,33.56,2,"Yes",61.849722,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",140.999999999999,39.0070679488901,"Euarchontoglires"
"195","Alticola macrotis","Cricetidae","Rodentia",910203,36,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"196","Alticola montosa","Cricetidae","Rodentia",3608469,34.53,2,"Yes",33.91667,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",77,33,"Euarchontoglires"
"197","Alticola olchonensis","Cricetidae","Rodentia",3608471,36.96,0,"Yes",NA,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"198","Alticola roylei","Cricetidae","Rodentia",3608467,37,1,"Yes",36.716671,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",81.0000000000027,43.008139301428,"Euarchontoglires"
"199","Alticola semicanus","Cricetidae","Rodentia",480666,33.39,2,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"200","Alticola stoliczkanus","Cricetidae","Rodentia",7067202,27.47,1,"Yes",28.183333,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",99.0000000000033,43.008139301428,"Euarchontoglires"
"201","Alticola stracheyi","Cricetidae","Rodentia",42889,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"202","Alticola strelzowi","Cricetidae","Rodentia",118428,50,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"203","Alticola tuvinicus","Cricetidae","Rodentia",3608466,33.32,2,"Yes",49.870846,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",89.9999999999996,49.0100411447026,"Euarchontoglires"
"204","Amblonyx concolor","Mustelidae","Carnivora",6145459,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Laurasiatheria"
"205","Amblysomus corriae","Chrysochloridae","Afrosoricida",753114,52.6,0,NA,NA,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Afrotheria"
"206","Amblysomus hottentotus","Chrysochloridae","Afrosoricida",574736,52.6,1,NA,NA,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Afrotheria"
"207","Amblysomus iris","Chrysochloridae","Afrosoricida",768487,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Afrotheria"
"208","Amblysomus marleyi","Chrysochloridae","Afrosoricida",117566,52.6,0,"Yes",-27.473929,"Endangered",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",33,-27,"Afrotheria"
"209","Amblysomus robustus","Chrysochloridae","Afrosoricida",178886,52.6,0,"Yes",-25.442134,"Vulnerable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",31,-25,"Afrotheria"
"210","Amblysomus septentrionalis","Chrysochloridae","Afrosoricida",178889,52.6,0,"Yes",-29.28,"Near Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",29,-29,"Afrotheria"
"211","Ametrida centurio","Phyllostomidae","Chiroptera",895014,10.33,1,"Yes",4.75,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-57.6166898709127,4.39270157294637,"Laurasiatheria"
"212","Ammodillus imbellis","Muridae","Rodentia",3610375,50,1,"Yes",NA,"Data Deficient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",NA,NA,"Euarchontoglires"
"213","Ammodorcas clarkei","Bovidae","Artiodactyla",3611830,28049.81,1,"Yes",9.166667,"Vulnerable","food_human",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",35,-3.00045740230187,"Laurasiatheria"
"214","Ammospermophilus harrisii","Sciuridae","Rodentia",580350,122,1,"Yes",32.3825421677083,"Least Concern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-111.467556370927,32.5936839905164,"Euarchontoglires"
"215","Ammospermophilus insularis","Sciuridae","Rodentia",632597,122.31,0,"Yes",24.466667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Wild","",-111,25.004069885944,"Euarchontoglires"
